sepal.length,sepal.width,petal.length,petal.width,variety,,,,,,,,,
5.1,3.5,1.4,0.2,Setosa,,,,,,,,,
4.9,3,1.4,0.2,Setosa,,,,,,sepal.length,sepal.width,petal.length,petal.width
4.7,3.2,1.3,0.2,Setosa,,,,,평균,5.843333333,3.057333333,3.758,1.199333333
4.6,3.1,1.5,0.2,Setosa,,,,,표준편차,0.828066128,0.435866285,1.765298233,0.762237669
5,3.6,1.4,0.2,Setosa,,,,,합계,876.5,458.6,563.7,179.9
5.4,3.9,1.7,0.4,Setosa,,,,,표준편차,0.00876415,,,-4.737085714
4.6,3.4,1.4,0.3,Setosa,,,,,,,,,
5,3.4,1.5,0.2,Setosa,,,,,,-0.90068117,,,
4.4,2.9,1.4,0.2,Setosa,,,,,,-1.14301691,,,
4.9,3.1,1.5,0.1,Setosa,,,,,,-1.38535265,,,
5.4,3.7,1.5,0.2,Setosa,,,,,,-1.50652052,,,
4.8,3.4,1.6,0.2,Setosa,,,,,,-1.02184904,,,
4.8,3,1.4,0.1,Setosa,,,,,,-0.53717756,,,
4.3,3,1.1,0.1,Setosa,,,,,,-1.50652052,,,
5.8,4,1.2,0.2,Setosa,,,,,,-1.02184904,,,
5.7,4.4,1.5,0.4,Setosa,,,,,,-1.74885626,,,
5.4,3.9,1.3,0.4,Setosa,,,,,,-1.14301691,,,
5.1,3.5,1.4,0.3,Setosa,,,,,,-0.53717756,,,
5.7,3.8,1.7,0.3,Setosa,,,,,,-1.26418478,,,
5.1,3.8,1.5,0.3,Setosa,,,,,,-1.26418478,,,
5.4,3.4,1.7,0.2,Setosa,,,,,,-1.87002413,,,
5.1,3.7,1.5,0.4,Setosa,,,,,,-0.05250608,,,
4.6,3.6,1,0.2,Setosa,,,,,,-0.17367395,,,
5.1,3.3,1.7,0.5,Setosa,,,,,,-0.53717756,,,
4.8,3.4,1.9,0.2,Setosa,,,,,,-0.90068117,,,
5,3,1.6,0.2,Setosa,,,,,,-0.17367395,,,
5,3.4,1.6,0.4,Setosa,,,,,,-0.90068117,,,
5.2,3.5,1.5,0.2,Setosa,,,,,,-0.53717756,,,
5.2,3.4,1.4,0.2,Setosa,,,,,,-0.90068117,,,
4.7,3.2,1.6,0.2,Setosa,,,,,,-1.50652052,,,
4.8,3.1,1.6,0.2,Setosa,,,,,,-0.90068117,,,
5.4,3.4,1.5,0.4,Setosa,,,,,,-1.26418478,,,
5.2,4.1,1.5,0.1,Setosa,,,,,,-1.02184904,,,
5.5,4.2,1.4,0.2,Setosa,,,,,,-1.02184904,,,
4.9,3.1,1.5,0.2,Setosa,,,,,,-0.7795133,,,
5,3.2,1.2,0.2,Setosa,,,,,,-0.7795133,,,
5.5,3.5,1.3,0.2,Setosa,,,,,,-1.38535265,,,
4.9,3.6,1.4,0.1,Setosa,,,,,,-1.26418478,,,
4.4,3,1.3,0.2,Setosa,,,,,,-0.53717756,,,
5.1,3.4,1.5,0.2,Setosa,,,,,,-0.7795133,,,
